
BAR-BCL2-CASP8 complex	596 841 51283 
ITGA2B-ITGB3-F11R complex	3690 3674 50848 
SNARE complex (STX1A, SNAP29)	9342 6804 
MKK4-ARRB2-JNK3 complex	409 6416 5602 
OGT-TRAK1-TRAK2 complex	8473 66008 22906 
E2F-6 complex	652869 2707 4149 6015 441488 23269 10138 83746 10919 6045 84108 652182 
18S U11/U12 snRNP	1665 23451 6628 6635 6636 6637 6632 119358 6634 4904 10992 23450 10262 8233 11066 154007 10594 10081 85437 641705 79622 83443 55954 51639 
PML-SMAD2/3-SARA complex	9372 5371 4088 4087 
BLOC1-BLOC2 complex	23557 2647 388552 282991 79803 63915 84343 84062 55330 26258 11234 
RICTOR-mTOR complex	2475 253260 64223 
RAD51-DMC1 complex	19361 13404 
RAD9-RAD1-HUS1-APE1 complex	5810 3364 328 5883 
ITGAV-ITGB1 complex	3688 3685 
PCNA-DNA polymerase delta complex	5111 5424 5425 10714 57804 
hSIR2-p53 complex	7157 23411 
CDC7-DBF7 complex	8317 649412 
ITGA9-ITGB1-ADAM8 complex	3688 11501 3680 
TRPC1-STIM1-ORAI1 complex	7220 84876 1501 
RalBP1-CCNB1-AP2A-NUMB-EPN1 complex	891 8650 10928 29924 161 160 
p33ING1b-HDAC1 complex	3065 3621 
Wave-2 complex	23191 10006 55845 10787 10163 
ITGA4-PXN-GIT1 complex	3676 5829 28964 
HuCHRAC complex	8467 54107 54108 11177 
ER-alpha-GRIP1-c-Jun complex	2099 3725 
ITGA9-ITGB1-SPP1 complex	3688 6696 3680 
Ubiquitin E3 ligase (UBADC1, RNF123)	63891 10422 
Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)	9978 6500 9820 26259 
DHX9-ADAR-vigilin-DNA-PK-Ku antigen complex	389901 7520 103 5591 3069 1660 
ITGA9-ITGB1-VEGFA complex	3688 7422 3680 
eRF1-eRF3-GTP-Mg(2+) complex	2107 2935 23708 
GPI-GnT activity complex	5277 5283 5279 9091 
HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	2597 3146 3312 3148 2923 
TGF-beta-receptor-PAR6 complex	7046 7048 50855 
DNA ligase IV-XRCC4-AHNK complex	3981 79026 7518 
TIP49-TIP48-BAF53 complex	86 10856 8607 
6S methyltransferase complex	1207 6632 6634 
BLM-RAD51L3-XRCC2 complex	7516 5892 641 
ING4 complex (ING4, MYST2, C1orf149, PHF16)	11143 9767 64769 51147 
Phosphatidylinositol 3-kinase complex (PIK3C3, PIK3R4)	5289 30849 
C-CFTR-NHERF(PDZ1 domain)-ezrin complex	9368 1080 7430 
ITGA7-ITGB1-CD151 complex	3688 977 3679 
SLP-76-PLC-gamma-1-VAV complex, alpha-TCR stimulated	7409 5335 3937 
ITGA5-ITGB4 complex	3688 3678 
ITCH-FAM/USP9x complex	8239 83737 
MBD1-Suv39h1-HP1 complex	6839 23468 4152 
GINS complex	9837 84296 64785 51659 
CENP-A nucleosome associated complex	1060 79682 80152 55839 64946 79019 
FACT complex	6749 11198 
Cell cycle kinase complex CDC2	9133 983 5111 891 595 1026 
Succinyl-CoA synthetase, GDP-forming	8802 283398 
AXIN-MEKK4-CCD1 complex	8312 85458 4216 
SMAD1-CBP complex	4086 1387 
MRN-TRRAP complex (MRE11A-RAD50-NBN-TRRAP complex)	4683 4361 10111 8295 
ESCRT-II complex	51028 11267 84313 
SMN complex	8487 6628 50628 6635 6636 6637 6632 119358 6634 6607 25929 79833 79760 54960 11218 11171 
LAT-PLC-gamma-1-p85-GRB2-CBL-VAV-SLP-76 signaling complex, C305 activated	27040 7409 5335 867 5295 2885 3937 
CD19-Vav-PI 3-kinase (p85 subunit) complex	930 7409 5295 
Condensin II	23310 54892 10051 
ITGA4-ITGB1-THBS1 complex	3688 7057 3676 
C/EBPalpha-HNF6 complex	1050 3175 
mTORC1 complex (mTOR/FRAP1, LST8, RAPTOR)	2475 64223 57521 
SNX complex (SNX1a,SNX2,SNX4,INSR)	6643 8723 3643 6642 
TRPC3-TRPC4 channel complex, redox-sensitive	7222 7223 
HES1 promoter-Notch enhancer complex	904 5430 4851 1024 1022 1025 3516 2033 5469 6830 9794 51763 11198 
HUIC complex	672 580 
CoREST-HDAC2 complex	3066 23186 
CRM1-Survivin mitotic complex	7514 332 
TFIIH transcription factor complex	2068 2071 2965 1022 902 4331 653238 2967 404672 2968 
ITGA2b-ITGB3-CD47-SRC complex	3690 3674 6714 961 
GAA1-GPI8-PIGT-PIG-PIGS complex	8733 10026 51604 94005 128869 
DIPA-MCRS1 complex	11007 10445 
BRCA1-BARD1-BACH1-DNA damage complex II	571 4683 672 4361 11073 10111 5932 580 
BRCA1-SMAD3 complex	672 4088 
PAX9-MSX1 complex	4487 5083 
BRCA1-BARD1-BACH1-DNA damage complex I	571 672 4292 2956 11073 580 
ITGAV-ITGB5-ADAM9 complex	3685 3693 8754 
12S U11 snRNP	6628 6635 6636 6637 6632 119358 6634 4904 11066 6432 154007 10081 79706 114034 79622 
PGC-1-SRp40-SRp55-SRp75 complex	6429 6430 6431 10891 
ITGA9-ITGB1-ADAM3 complex	3688 3680 
BCR-ABL (p185 fusion protein)-GRB2 complex	2885 
WIP-WASp-actin-myosin-IIa complex	7456 10627 4627 7454 4637 59 
28S ribosomal subunit, mitochondrial	6183 63931 7818 56945 64432 55173 60488 64969 92259 64963 64960 54460 65993 64968 64965 23107 10240 64951 64949 10884 55168 51650 28957 51373 51081 51116 51021 51023 51649 28973 
ITGA5-ITGB1-ADAM15 complex	3688 3678 8751 
PNUTS-PP1 complex	5499 5514 
EGFR-containing signaling complex	5286 5287 1956 2064 
P-TEFb-7SKRNA-HEXIM1 complex	904 10614 1025 
gamma-secretase complex (APH1A,PSEN2,PSENEN,NCSTN)	5664 23385 51107 55851 
Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, CKS1B, RBX1)	732142 9978 6500 6502 8454 
FIF-FGR2 complex	2247 8539 
STAGA core complex (SPT3-TAF9-GCN5 acetyltransferase complex)	8464 6880 2648 
Prolyl 4-hydroxylase (alpha(III)-type)	5034 283208 
Cleavage and polyadenylation factor (CPSF)	10898 29894 81608 53981 51692 
RC complex during G2/M-phase of cell cycle	983 142 5422 7150 891 6118 890 6117 5424 6119 5982 5981 5426 
TRF1-TIN2 complex	7013 65057 26277 25913 
mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)	5073 5394 23404 167227 54464 5976 65109 22803 26019 54512 
CFTR-NHERF-beta(2)AR signaling complex	9368 154 1080 
Ubiquitin E3 ligase (CRY1, SKP1A, CUL1, FBXL3)	6500 8454 1407 26224 
BRMS1-SIN3-HDAC complex	23309 8819 648695 3065 5931 3066 25942 25855 
p53-SP1 complex	7157 6667 
Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)	405 196 9978 8450 652672 
HDAC1-associated core complex cII	9219 53615 648695 1107 3065 5931 8932 23186 54815 57459 
PLC-gamma-1-SLP-76-SOS1-LAT complex	27040 5335 6654 3937 
SMN containing complex	8487 3956 3958 50628 6632 119358 6634 6607 
ITGA4-ITGB1-VCAM1 complex	3688 3676 7412 
P2X7 receptor signalling complex	81 6840 3689 3304 644816 3312 5787 5297 60 4356 3909 29665 
PRKAC-AKAP5-ADRB1 complex	153 9495 730418 5568 5567 
BCL6-HDAC7 complex	604 51564 
ITGA2B-ITGB3 complex	3690 3674 
LARC complex (LCR-associated remodeling complex)	8289 9219 53615 86 3183 6597 60 648695 6598 3065 1108 6601 57459 3066 5977 6599 6603 6605 8932 
ITGA2-ITGB1 complex	3688 3673 
PHAX-CBC complex (cap binding complex)	22916 4686 51808 
Ubiquitin E3 ligase (NFKBIA, FBXW11, BTRC, CUL1, SKP1A)	4792 6500 8454 23291 8945 
SNARE complex (STX6, SNAP23)	8773 10228 
P-TEFb.4 complex	8812 1025 
FOXO1-FHL2-SIRT1 complex	2308 2274 23411 
RAD51C-XRCC3 complex	5889 7517 
MRIP-MBS-RHOA complex	4659 387 23164 
Oligosaccharyltransferase complex (Stt3A variant)	6184 6185 1650 3703 1603 84061 
SNX complex (SNX2), oligomeric	6643 
SMAD3-SMAD4-FOXO4 complex	4088 4303 4089 
ORC complex (origin recognition complex)	5001 5000 4998 4999 23595 23594 
MALT1 oligomer complex	10892 
Cbl-SLP-76-Grb2 complex, Fc receptor gamma-R1 stimulated	867 2885 3937 
Chromosomal passenger complex CPC (INCENP, BIRC5, AURKB)	332 9212 3619 
ITGAV-ITGB3-COL4A3 complex	3690 3685 1285 
TRAP-SMCC mediator complex	219541 6837 5469 81857 112950 54797 29079 9440 55588 400569 
ILF3-XPO5 complex	3609 57510 
Condensin I complex	23397 9918 64151 10051 
TRIKA2 protein kinase complex (TAK1, TAB1, TAB2)	10454 23118 6885 
TFIIA-TRF2 complex	2957 2958 7014 
Polycomb repressive complex 4 (PRC4)	2146 23411 
gamma-secretase complex (APH1B,PSEN1,PSENEN,NCSTN)	5663 83464 23385 55851 
P-TEFb.2 complex	905 1025 
POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2 complex	904 4691 5430 1025 53981 10891 
SHARP-CtBP1-CtIP-RBP-Jkappa corepressor complex	3516 1487 23013 5932 
JUND-FOSB-SMAD3-SMAD4 complex	3727 2354 4088 4089 
Sulphiredoxin-peroxiredoxin complex	5052 140809 
ITGA9-ITGB1-FIGF complex	2277 3688 3680 
SLP-76-Cbl-Grb2-Shc complex, Fc receptor gamma-R1 stimulated	867 6464 2885 3937 
SNARE complex (STX4, SNAP23, VAMP1)	8773 6843 6810 
CD20-LCK-LYN-FYN-p75/80 complex, (Raji human B cell line)	3932 2534 4067 931 
TGF-beta receptor II-TGF-beta3 complex	7043 7048 
N-NOS-CHIP-HSP70-1 complex	3304 4842 10273 
PTF1-bHLH complex	256297 6938 
Ubiquitin E3 ligase (H2AFY, SPOP, CUL3)	8405 9555 8452 
ITGA4-ITGB1-THBS2 complex	3688 3676 7058 
CERF complex (CECR2-containing remodeling factor complex)	6594 27443 
PLC-gamma-2-SLP-76-Lyn-Grb2 complex	4067 5336 2885 3937 
MTA1 complex	53615 648695 9112 5931 3065 3066 
60S APC containing complex	324 8826 7283 27175 10376 7846 84790 
BAF complex	8289 86 6595 6597 6598 6601 6599 6605 6602 
MSH2/6-BLM-p53-RAD51 complex	7157 4436 2956 641 5888 
TIM50a-SMN1 complex	6607 92609 
Kaiso-N-CoR complex	8841 6907 9682 9611 3832 2874 10009 7464 79718 51592 
FA complex (Fanconi anemia complex), cytoplasmic	2189 2175 2176 2188 
Conserved oligomeric Golgi (COG) complex	91949 22796 9382 83548 84342 25839 10466 57511 
Serine-palmitoyltransferase (SPT) complex	731770 9517 55304 
IFNB1-IFNAR1-IFNAR2- complex	3456 3454 3455 
RBP-Jkappa-Notch1 complex	4851 3516 
LSD1-CoREST complex	23028 23186 
CSA-POLIIa complex	5430 9318 9978 2873 1161 8451 652672 10980 10987 10920 51138 8533 64708 50813 
Nucleic and chromatin Fanconi complex	2189 2175 2176 2178 2188 
NAT complex	9282 10001 892 1024 9412 84246 9439 
SF3b complex	23451 10992 23450 10262 84844 11325 83443 51639 
ITGAV-ITGB3-SPP1 complex	3690 3685 6696 
Tle2-Hes1 complex	29577 299636 
ARC92-Mediator complex	9443 9282 10001 9441 1024 5469 81857 9968 51586 9440 9969 9439 10025 
Sam68-p85 P13K-IRS-1-IR signaling complex	3643 5295 3667 10657 
MPP4-MPP5-CRB1 complex	23418 64398 58538 
TIM (TIMM17ab, TIMM23, TIMM44) complex, mitochondrial	10431 10469 10245 10440 
Brca1 A complex	672 84142 51720 580 
p23 protein complex	18570 3181 441050 
ITGA3-ITGB1 complex	3688 3675 
Hip1R-cortactin complex	9026 2017 
COP9 signalosome complex	9318 2873 10980 10987 10920 51138 8533 64708 50813 
IMP3-IMP4-Mpp10 complex	10199 92856 55272 
ITGAV-ITGB5-PLAUR complex	3685 3693 5329 
Mi2/NuRD-BCL6-MTA3 complex	53615 604 3065 1108 57504 
FCP1-associated protein complex	10419 5431 2962 2079 11329 79084 9150 
CD28-transactivation complex	940 4691 
ITGA6-ITGB1-CD151 complex	3688 3655 977 
GRASP-GRP1 complex	9265 160622 
ETS2-FOS-JUN complex	2353 3725 2114 
ITGA2b-ITGB3-CD9 complex	3690 3674 928 
GALNS-lysosomal hydrolase 1.27 MDa complex	5476 2720 2588 4758 
Rnase/Mrp complex	10248 10799 11102 10775 10557 10556 51367 10940 54913 79897 
anti-HDAC2 complex	23028 9219 732437 648695 1107 9112 3065 9203 23199 1108 5931 3066 51317 10362 7750 23186 23309 25942 
PCNA-MLH1-PMS1 complex	5111 4292 5378 
ITGAV-ITGB3-NOV complex	3690 3685 4856 
REST-CoREST-mSIN3A complex	5978 25942 23186 
BCL6-HDAC4 complex	604 9759 
OCT1-OBF1-DNA complex	5451 5450 
gamma-secretase complex (APH1A,PSEN1,PSENEN,NCSTN variant)	5663 23385 51107 55851 
SNX complex (SNX1a,SNX2,SNX4,EGFR)	6643 8723 1956 6642 
MSH2-MSH3 complex	4437 4436 
BLM-TOP3A complex	641 7156 
WINAC complex	8289 86 7421 6595 6597 7155 6598 10036 6601 6599 6605 6602 9031 11198 
RNA-induced silencing complex, RISC	644816 6895 27161 647691 
SNARE complex (VAMP2, SNAP25, STX1a, CPLX2)	6616 6844 6804 10814 
TorsinA-TorsinB complex	1861 27348 
snRNP-free U1A (SF-A) complex	6626 1655 6421 4841 
PU.1-TBP complex	6688 6908 
RFC2-RIalpha complex	5518 5984 
Microprocessor complex	54487 29102 
PAR-6-PAR-3-VE-cadherin complex, endothelial	1003 56288 84552 50855 
SKI-NCOR1-SIN3A-HDAC1 complex	9611 6497 3065 25942 
(E.F.G) complex	6635 6636 6637 
BRCA1-CTIP-ZBRK1 repressor complex	672 5932 59348 
SMAD3-SMAD4-FOXO3-FOXG1 complex	2309 2290 4088 4089 
ARD1-NATH complex	373 80155 
LCK-SLP76-PLC-gamma-1-LAT complex, pervanadate-activated	27040 3932 5335 3937 
ITGA6-ITGB4-CD9 complex	3691 928 3655 
DDB complex	652672 1643 
MSL complex	284058 10943 84148 55167 
Cohesin-SA2 complex	5885 8243 10735 9126 
AMY-1-S-AKAP84-RII-beta complex	5577 8165 26292 
BLM-TRF2 complex	641 7014 
DAXX-Axin-p53-HIPK2 complex	8312 7157 653052 1616 
TLE1 homodimer complex	7088 
ITGB3-ITGAV-CD47 complex	3690 3685 961 
ITGA4-ITGB1-CD47 complex	3688 3676 961 
ZNF198-SUMO1 complex	7341 7750 
SETDB1-containing HMTase complex	9869 55729 
HDAC4-ERK2 complex	5594 9759 
SHARP-CtBP complex	645508 1487 23013 
Histone H3.3 complex	8520 4678 7290 554313 730740 648695 79711 55723 25842 
anti-BHC110 complex	23028 7764 732437 3065 9203 23199 3066 51317 10362 7750 23186 
PRMT5 complex	10419 
Guanylyl cyclase, soluble (GUCY1A3, GUCY1B3)	2982 2983 
Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)	9978 8451 652672 
ITGA6-ITGB4-CD151 complex	3691 3655 977 
FIB-associated protein complex	10419 2091 708 7846 3276 81027 
hNURF complex	6594 648695 2186 5931 
ITGA2B-ITGB3-ICAM4 complex	3690 3674 3386 
SRC-3 complex	3551 1147 6738 10499 1387 8517 8202 
CtBP complex	8535 9839 23028 7764 6935 645508 1487 3065 9658 6239 3066 84458 10919 652182 55758 23186 9425 
MMP-2-claudin-1 complex	9076 4313 
SMAD3/4-E2F4/5-p107-DP1 complex	5933 4088 4089 441488 1875 1874 
Tacc1-chTOG-AuroraA  complex	6790 6867 9793 
DNA ligase III-XRCC1 complex	7515 3980 
Ubiquitin E3 ligase (FBXW7,CUL1,SKP1A, RBX1)	9978 6500 8454 55294 
Phosphatidylinositol 3-kinase (PIK3CA, PIK3R1)	5295 5290 
SNARE complex (STX4, VAMP1, VAMP7)	6843 6845 6810 
HSF1-HSF2 complex	642255 3298 
FGFR2-c-Cbl-Lyn-Fyn complex	2534 4067 2263 867 
CCND1-CDK6 complex	595 1021 
AKAP250-PKA-PDE4D complex	9590 5144 730418 5568 5567 
FN1-TGM2 complex	2335 7052 
p27-cyclinE-CDK2 complex	898 1017 1027 
ING1-p300-PCNA complex	5111 2033 3621 
ITGA3-ITGB1-CD151 complex	3688 3675 977 
BRAF53-BRCA2 complex	23028 675 3065 3066 51317 10362 23186 
Ubiquitin E3 ligase (SIAH1, SIP, SKP1A, TBL1X)	6907 6500 6477 27101 
ITGAV-ITGB5-SPP1 complex	3685 6696 3693 
ITGA2-ITGB1-CHAD complex	1101 3688 3673 
XPA-ERCC1-ERCC4 complex	2067 7507 2072 
BRCA1-VCP complex	672 7415 
NCBP-NIP1 complex	4686 63941 
PLC-gamma-2-SLP-76 complex	5336 3937 
ITGA3-ITGB1-CD63 complex	3688 967 3675 
EBAFa complex	8289 86 6597 4298 6598 6601 6599 6603 6605 6602 
ITGAV-P2RY2-GNA12 complex	3685 5029 2768 
LAT-GRB2 complex, Fyn-mLck(KA) or Syk kinase activated	27040 2885 
Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2)	7428 8453 649647 6923 
CASK-LIN7C-ABPA1 complex	320 55327 
CRK-BCAR1-DOCK1 complex	1398 9564 1793 
ITAGV-ITGB3-F11R complex	3690 3685 50848 
Replication-coupled CAF-1-MBD1-ETDB1 complex	10036 9869 4152 
OCT1-SOX2 DNA-protein complex	5451 6657 
ING4 complex (ING4, MYST2, C1orf149,PHF17)	11143 79960 64769 51147 
TIF1gamma-SMAD2-SMAD3 complex	4088 4087 51592 
Rb-tal-1-E2A-Lmo2-Ldb1 complex	5925 6929 6886 4005 8861 
RANBPM-Muskelin-TWA1-HSMpp8 complex	10048 54994 4289 
DNA-PK-Ku antigen complex	389901 7520 5591 
PRNP-ApolopoproteinE3 complex	5621 348 
ITGA2b-ITGB3-CD47-FAK complex	3690 3674 5747 961 
ITGA6-ITGB4-Laminin10/12 complex	3911 3915 3691 3655 3913 
Ubiquitin E3 ligase (CDC34, CUL1, RBX1)	997 9978 8454 
TRF2-Ku complex	389901 7520 7014 
MUS81-CDS1 complex	1040 80198 
ITGA5-ITGB1-SPP1 complex	3688 3678 6696 
ITGA9-ITGB1-ADAM15 complex	3688 8751 3680 
HES1 promoter corepressor complex	5430 1022 3516 2033 6830 1387 
ITGAV-ITGB3-SLC3A2 complex	3690 3685 6520 
SMAD3-HEF1-APC10-CDH1 complex	999 4088 4739 10393 
Ecsit complex (ECSIT, NDUFS3, TOM20)	4722 9804 51295 
Ubiquitin E3 ligase (BMI1, SPOP, CUL3)	8405 648 8452 
ITGA11-ITGB1-COL1A1 complex	1277 3688 22801 
ITGB6-FYN-FN1 complex	2335 2534 3694 
MBD1-MCAF complex	55729 4152 
UTX-MLL2/3 complex	8085 7403 11091 23054 5929 22976 55728 80209 645159 9070 23528 
MMP-9-TIMP-1-LRP complex	7076 4318 4035 
ING4 complex (ING4, MYST2, C1orf149, PHF15)	11143 64769 23338 51147 
BLOC-2 (biogenesis of lysosome-related organelles complex 2)	79803 84343 11234 
BRCA1-BACH1 complex	672 83990 
WNK1-SPAk complex	65125 27347 
interferon-stimulated gene factor 3 transcription complex ISGF3	6772 6773 10379 
ITGA11-ITGB1 complex	3688 22801 
SF3A1-SF3A2-SF3A3 complex	10946 8175 10291 
MTA2 complex	9219 53615 648695 3065 1108 5931 3066 23309 25942 
Mitotic checkpoint complex (MCC)	9184 701 991 4085 
ESR1-CDK7-CCNH-MNAT1-MTA1-HDAC2 complex	2099 1022 902 4331 9112 3066 
TFTC complex (TATA-binding protein-free TAF-II-containing complex)	6874 6314 8464 10474 27097 6878 6881 23450 6877 6884 6879 6883 6880 6873 2648 8295 10629 
ITGB1-ITGA9 complex	3688 3680 
EED-EZH2 complex	8726 648695 23512 2146 121536 
Mi-2/NuRD-MTA2 complex	9219 53615 604 3065 57504 
DNA double-strand break end-joining complex	4683 389901 7520 3981 4361 7518 10111 
CCND3-CDK6 complex	896 1021 
LLGL2-PAR-6B-aPKC complex	652838 84612 
Axin-PP2A A-PP2A C-GSK3-beta-beta-catenin complex	8312 1499 2932 5525 
TIM50a-coilin complex	8161 92609 
PCI-PSA-SCG2 complex	5104 354 7857 
IFP35-NMI complex	3430 9111 
IGF1-IGFBP3-ALS complex	3479 3486 3483 
IRF3-CBP complex	3661 163732 4435 10370 
Ku antigen complex	389901 7520 
SNARE complex (VAMP3, VAMP4, STX16)	8675 8674 9341 
BARD1-BRCA1-CSTF complex	1478 672 1477 1479 580 
ITGA9-ITGB1-TNC complex	3688 3371 3680 
H2AX complex I	440577 142 3309 3014 811 22907 128312 
p54(nrb)-PSF-matrin3 complex	6421 648893 4841 
BRCA1 C complex	672 51720 5932 580 
ATM-NBS1 complex	4683 651610 
CDC5L core complex	5356 10286 3312 10985 988 27339 
MutL-beta complex	4292 5378 
Vigilin-DNA-PK-Ku antigen complex	389901 7520 5591 3069 
RC complex (Replication competent complex)	5422 890 1017 5984 5982 5981 5985 5983 23649 
Condensin I-PARP-1-XRCC1 complex	142 7515 23397 9918 64151 10051 
Bipartite complex (TFC4, CTNNB1)	1499 
ITGAV-ITGB6 complex	3685 3694 
SNARE complex (STX11, VAMP2, SNAP23)	8773 8676 6844 
RIAM-Rap1-GTP complex	5906 54518 
Dysferlin-affixin complex	8291 29780 
DNMT1-G9a complex	1786 10919 
OCT4-SOX2 DNA-protein complex	6657 5460 
ITGA9-ITGB1-VCAM1	3688 7412 3680 
LAT-PLC-gamma-1-p85-GRB2-SOS signaling complex, C305 activated	27040 5335 5295 2885 6654 
Lymphotoxin beta receptor complex	4049 4055 4050 
Ubiquitin ligase complex (TRAF6, TAB2, MALT1, UEV1A, BCL10)	646626 387522 23118 10892 7189 
AR-AKT-APPL complex	367 207 26060 
BCR-ABL (p210 fusion protein)-GRB2-SOS1 complex	2885 6654 
ITGAV-ITGB3-ADAM15 complex	3690 3685 8751 
ITGA1-ITGB1-COL6A3 complex	3688 1293 3672 
ITGAV-ITGB3-ADAM23 complex	8745 3690 3685 
SCRIB-LGL2 complex	23513 652838 
SHARP-CtBP1-CtIP complex	1487 23013 5932 
